index,run,subrun,event,reco_interaction_id,reco_vertex_x,reco_vertex_y,reco_vertex_z,reco_leading_ph_start_point_x,reco_leading_ph_start_point_y,reco_leading_ph_start_point_z,reco_leading_ph_energy,reco_subleading_ph_start_point_x,reco_subleading_ph_start_point_y,reco_subleading_ph_start_point_z,reco_subleading_ph_energy,opening_angle_s2v,mass_s2v,opening_angle_cw,mass_cw
10,10592,0,23,38,-158.64,35.490005,149.79901,-161.94,42.990005,156.39911,175.7990825607116,-158.34001,35.190002,153.69904,80.42821309652673,56.96688,113.41596570799189,43.579777,88.27854232572929
10,10604,0,22,21,-291.94,-131.91,-467.40097,-288.84003,-119.61,-455.60098,512.961661097515,-197.34001,-113.61,-379.10095,40.65603692847562,46.440514,113.87417288628149,148.10349,277.7083175329118
3,10719,0,11,8,-237.24,51.840004,-711.80096,-260.94,45.690002,-687.501,83.19619420063066,-242.94,102.39,-678.80096,49.40409832690136,72.58305,75.89394553439969,57.394207,61.569625485400046
9,10932,0,28,30,-245.34001,-35.61,398.49908,-257.64,21.990005,423.69904,120.6469800098833,-248.04001,-35.90999,398.19904,40.61732004923993,87.26021,96.603515685354,98.336296,105.932302003451
10,11368,0,18,8,-130.73999,78.39,463.59906,-131.94,60.690002,444.99908,808.2971779696913,-130.44,72.990005,451.8991,132.80714103974492,19.222244,109.40547769543555,20.846651,118.55279210940066
2,11407,0,6,21,-206.04001,-153.95999,-286.701,-194.04001,-151.70999,-262.701,408.49844691265065,-202.74,-151.70999,-259.40094,306.62760906908886,19.605154,120.51128134562369,17.945,110.39391425528237
7,12277,0,18,15,-145.59,31.890007,268.44904,-147.54001,28.890015,272.19904,264.63612016425077,-157.74,27.990005,279.69904,199.56260589231928,28.375044,112.64990986175229,30.99679,122.81434492278707
15,12538,0,24,3,-246.54001,-99.21,316.44904,-214.74,-118.71,285.3991,106.4393928252071,-229.44,-104.31,327.3991,71.61538457295981,72.63732,103.4208889055924,84.51709,117.42537169395146
6,12705,0,20,6,-226.44,-32.159996,809.19904,-231.84001,-39.809998,819.9991,144.5749121976186,-277.44,-62.609993,808.29913,97.43739668145238,54.041317,107.84332667859519,125.36268,210.9021518012951
6,12791,0,13,27,-204.24,95.19002,-234.65097,-215.64,105.69002,-216.80096,76.55710427157851,-181.74,78.09001,-240.50098,36.14348905632295,142.39261,99.59036993526716,134.48122,97.01379865033577
8,12869,0,26,6,-290.64,36.390007,437.49908,-305.94,47.490005,440.19904,149.46509671498495,-302.64,90.39,460.59906,105.94512755612294,42.39213,90.99581839851251,57.772003,121.5763553151816
4,13107,0,6,4,-207.84,-14.7599945,-145.55096,-210.24,-10.709991,-148.40094,261.43098394554784,-208.44,-1.4099884,-143.90094,76.0908747293863,46.714993,111.8360522693705,49.315464,117.68354296240183
7,13425,0,18,0,-238.29001,-67.259995,-632.901,-268.74,-79.409996,-574.401,424.83446971479674,-258.54,-39.809998,-556.10095,97.73389517542829,32.060863,112.5392899413723,40.90917,142.41834239751688
6,13790,0,9,26,-134.04001,-2.4099987,-557.30096,-111.84,-17.009995,-503.90097,384.620464278991,-125.04001,0.9900055,-583.401,194.0018251717809,138.55008,510.9699683924611,140.88182,514.7979245043455
0,13922,0,1,0,-249.16501,7.44001,-735.2009,-245.04001,20.490005,-725.901,368.3302178440324,-248.94,8.790009,-731.001,204.73217332219505,37.992207,178.77133182189974,38.428646,180.747881896307
16,13922,0,26,3,-214.14,-41.61,-368.90094,-203.64,26.190002,-360.50098,224.5822768613517,-205.14,-27.809998,-378.80096,120.43285140072008,44.53841,124.64713249770034,48.37097,134.7558653347091
9,13990,0,16,0,-246.54001,-141.20999,-676.401,-273.84003,-148.41,-693.501,191.95725774190512,-260.64,-68.009995,-746.30096,57.63084227780262,71.806694,123.35828529013783,74.583115,127.45006404638796
4,13991,0,18,0,-250.84,-1.6099904,-112.300964,-252.24,-11.909988,-76.70093,384.55744364175456,-209.64,21.990005,-70.40094,34.58540353430323,59.53024,114.50612588931618,78.210945,145.48367640157488
0,14268,0,1,4,-131.44,-120.81,32.299053,-110.34,-63.21,47.199036,74.92443222597421,-182.34001,-122.61,90.09906,32.96162478895073,93.73093,72.53044184754256,76.54548,61.56319554232805
5,14311,0,16,5,-189.34001,-15.209991,419.39905,-190.44,-22.409988,445.8991,213.5944044733622,-147.54001,-2.9099884,452.19904,68.63021850585938,60.64952,122.26118279187337,51.593216,105.37785626301563
12,15155,0,28,34,-284.565,-53.684998,-724.32605,-291.24002,-42.509995,-766.401,122.57153614457832,-284.64,-33.509995,-705.80096,67.63167323836362,117.31095,155.5197894594203,135.4007,168.4772034341951
6,15175,0,11,5,-121.29001,-50.759995,568.7491,-170.04001,-29.61,578.4991,91.46776314241342,-99.23999,-21.509995,523.59906,52.222451818994735,106.58326,110.81491792458853,109.36507,112.78783793942738
8,15460,0,17,2,-248.19,-21.96,-597.651,-261.54,-10.409988,-563.001,71.9240303499153,-248.04001,-21.809998,-597.201,1.6725474093333785,37.62517,7.073761799430834,43.881306,8.196276599748204
12,15793,0,23,3,-307.74002,-96.21,179.49908,-261.24,26.190002,168.99908,110.11944506541793,-300.24002,-107.009995,186.09906,43.81200032061842,122.64496,121.87756651030041,127.764885,124.73346831745734
14,15875,0,28,4,-261.99,-9.959991,-87.35095,-264.24,-9.809998,-82.40094,319.1101809582079,-222.24,7.2900085,-86.90094,41.30022899214044,111.03923,189.2659278244749,38.399345,75.50736062279883
5,16017,0,12,3,-170.94,64.29001,567.249,-176.94,79.59001,573.69904,167.97257388930726,-258.84003,104.490005,514.8991,72.12533606104104,65.49926,119.0873212257859,83.88612,147.13779318896508
3,16245,0,4,2,-228.16501,-23.759998,-440.52597,-222.54001,-29.909988,-446.30096,77.18044418886484,-222.84001,-25.11,-428.30096,53.156666583325496,103.76852,100.78776552165137,100.36733,98.39676863527727
0,16816,0,1,8,-214.74,-2.0099945,-290.30096,-210.54001,-2.6100006,-277.701,297.1942212208208,-205.74,9.690002,-279.201,74.65359791215644,45.977547,116.34642245261028,49.406082,124.49841546117794
7,17167,0,14,1,-210.54001,-110.009995,-703.10095,-200.64,-80.31,-702.80096,109.10005684358529,-221.94,-100.409996,-703.401,100.51879882812501,68.35159,117.65131783427233,66.89076,115.43287971786577
1,19528,0,4,5,-184.74,-147.35999,201.24908,-260.94,-150.20999,243.09906,372.6820980209902,-195.84001,-155.01,196.29901,31.61880768925311,58.080368,105.38826963344972,134.22075,200.01026770304225
12,19701,0,25,4,-111.54001,35.490005,-179.00098,-122.34,33.990005,-155.90094,151.8197852444936,-114.23999,40.29001,-175.70099,137.42936835231552,53.221935,129.4030027688169,47.101963,115.43069058222227
2,20464,0,9,1,-252.24,73.59001,-351.40097,-250.74,66.69,-345.201,117.09447653896838,-254.34001,73.890015,-353.30096,22.369092918304077,129.4399,92.55543327274258,141.35356,96.5919940448908
0,21129,0,1,0,-276.39,48.390007,-531.951,-277.44,49.59001,-535.10095,446.76726927240213,-276.24,48.09001,-532.401,418.84133212537654,62.98729,451.9620136842172,15.306187,115.21728965365202
2,21486,0,6,3,-182.49,-113.759995,-329.30096,-146.94,-131.31,-257.30096,150.03101394837162,-177.24,-133.11,-318.50098,62.990937750023534,45.848732,75.73288371451876,45.232315,74.76851677760475
2,21657,0,6,22,-129.99,-86.759995,520.14905,-103.140015,-77.009995,550.59906,125.74714752564948,-125.94,-82.409996,518.19904,79.3752647307982,69.42607,113.78628023083337,111.95269,165.6055500374629
10,21818,0,20,34,-225.39001,101.34001,551.19904,-225.54001,101.490005,551.19904,223.46202436699926,-199.14,60.390015,542.4991,172.06310593938255,164.07867,388.39204225561707,83.36996,260.80746135994156
13,22895,0,27,44,-262.14,-2.9099884,263.19904,-290.04,18.390015,251.79901,93.78769656261767,-255.84001,-1.7099915,261.69904,34.57939193909427,123.20289,100.19054592440644,116.13499,96.66101914767108
5,23270,0,16,3,-165.24,6.0900116,-465.50098,-158.64,0.69000244,-475.70096,166.2782783967903,-181.14,2.4900055,-468.50098,37.21832597112081,104.42502,124.34033716786622,82.65205,103.89524055390113
5,25819,0,15,37,-176.04001,63.840004,-52.40094,-177.24,62.79001,-46.100952,462.7719741269767,-184.44,72.390015,-22.700928,56.641769409179695,25.273264,70.83763709264129,21.17698,59.50020823926175
3,26095,0,10,7,-136.14001,18.990005,339.3991,-149.94,-9.809998,342.69904,260.78162135848083,-213.24,22.590012,305.19904,22.91444985263319,71.78027,90.63447411537103,118.60375,132.93995064929683
6,26199,0,23,12,-260.34003,64.59001,616.299,-263.94,42.690002,566.19904,156.26628829772216,-260.94,24.090012,639.3991,38.39657105595233,96.025444,115.15138324280338,96.03331,115.15849134457153
2,26349,0,12,0,-134.04001,-119.61,-488.75098,-132.23999,-121.41,-489.20096,204.63848803416795,-90.23999,-109.11,-504.80096,36.41655244022967,57.086906,82.49774418395589,133.06732,158.37320791855
12,26442,0,30,14,-133.73999,-132.95999,-132.65097,-139.73999,-129.51,-121.10095,161.47538150649476,-124.140015,-106.409996,-114.50098,99.527198148061,57.3781,121.71549195052422,66.8231,139.61398877032516
4,26633,0,9,6,-134.79001,-126.81,-300.65097,-127.140015,-130.70999,-297.50098,149.670851374247,-175.74,-132.81,-259.10095,31.29468711025744,107.24137,110.20164510577493,107.67388,110.5072849070254
0,27018,0,3,3,-302.34003,-14.610001,-471.80096,-277.14,18.390015,-443.30096,78.84952591126225,-279.24,-60.509995,-492.50098,34.797696033156065,123.074234,92.0992160458768,78.530975,66.30556044560731
4,27470,0,12,7,-260.44,-64.31,-746.001,-259.74,-65.909996,-742.401,154.7034390001412,-264.84003,-54.809998,-741.201,59.62891176522497,91.24366,137.29541909473951,68.09339,107.5460320699746
0,27551,0,1,22,-250.59001,67.59001,-23.90094,-248.04001,62.79001,-16.100952,160.95897260918676,-238.74,69.69,89.199036,53.65838659815042,33.439564,53.47280865202524,nan,nan
0,27966,0,4,12,-161.34001,24.090012,-732.051,-168.54001,25.890015,-727.401,218.34896960890438,-151.73999,52.890015,-728.60095,34.84563253012048,90.264885,123.64209353066491,99.17934,132.83265455237455
11,28052,0,24,3,-143.44,-39.909996,-113.50096,-76.73999,-83.31,-126.800964,135.040237242917,-138.23999,-28.709991,-122.60095,48.470784382647786,90.84307,115.25463676217403,85.676216,110.01839625453268
1,28495,0,5,0,-227.94,-76.10999,-581.60095,-244.14001,-57.509995,-589.701,44.819903086466965,-176.04001,-73.10999,-613.10095,14.510089230824667,109.61756,41.68180662372147,79.72058,32.68909259635845
11,28594,0,23,19,-167.74,-107.61,-765.7009,-201.54001,-92.909996,-772.10095,88.89153721820878,-169.14,-101.31,-764.60095,68.77923988434206,57.139057,74.78612821902918,76.2377,96.53426393336515
