iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,model_backward_time,model_backward_time_cpu,model_backward_time_sum,model_backward_time_sum_cpu,model_save_time,model_save_time_cpu,model_save_time_sum,model_save_time_sum_cpu,loss,accuracy,accuracy_class_0,accuracy_class_1,accuracy_class_2,accuracy_class_3,accuracy_class_4
0,0.0010204081632653062,92855,112.8030208,11.8,8.71174656,20.5957127933514,4.477509260177612,1.4261674310000005,4.477509260177612,1.4261674310000005,0.5710415840148926,0.04662194000000053,0.5710415840148926,0.04662194000000053,3.9062659740448,1.3793546610000007,3.9062659740448,1.3793546610000007,3.6060585975646973,1.1050799709999994,3.6060585975646973,1.1050799709999994,0.29986023902893066,0.2739339199999993,0.29986023902893066,0.2739339199999993,8.344650268554688e-06,8.509999998906892e-06,8.344650268554688e-06,8.509999998906892e-06,1.7515732049942017,0.04707520776931957,0.08867912,0.00976403,0.037648052,0.59069973,0.07898551
1,0.0020408163265306124,2487,112.702246912,11.8,9.51835904,22.50265061106644,0.473651647567749,0.47167734000000117,4.951160907745361,1.8978447710000017,0.0001251697540283203,0.00012571000000072274,0.5711667537689209,0.04674765000000125,0.47347092628479004,0.47149265000000007,4.37973690032959,1.8508473110000008,0.16173601150512695,0.1610544100000002,3.767794609069824,1.2661343809999996,0.3107607364654541,0.30943809000000044,0.6106209754943848,0.5833720099999997,7.867813110351562e-06,7.929999998879111e-06,1.621246337890625e-05,1.6439999997786003e-05,1.6156777143478394,0.0679781387535441,0.20038381,0.0038583276,0.021276595,0.6131836,0.045255117
2,0.003061224489795918,125111,112.752898048,11.8,9.51835904,22.50265061106644,0.46048855781555176,0.4583013499999993,5.411649465560913,2.356146121000001,0.0001304149627685547,0.00014290999999921894,0.5712971687316895,0.04689056000000047,0.4603142738342285,0.45811356000000103,4.840051174163818,2.308960871000002,0.15717601776123047,0.15639853999999964,3.9249706268310547,1.4225329209999993,0.30225396156311035,0.3008178200000007,0.9128749370574951,0.8841898300000004,9.298324584960938e-06,9.13000000046793e-06,2.5510787963867188e-05,2.5569999998253934e-05,1.569352388381958,0.14851523737883565,0.23967354,0.014712518,0.014021422,0.67033887,0.55253243
3,0.004081632653061225,73143,112.74622976,11.8,9.51835904,22.50265061106644,0.5096662044525146,0.49491356000000053,5.921315670013428,2.8510596810000015,0.0439305305480957,0.03131525000000046,0.6152276992797852,0.07820581000000093,0.4656493663787842,0.4635166900000005,5.3057005405426025,2.7724775610000023,0.15783119201660156,0.15721257000000044,4.082801818847656,1.5797454909999997,0.30717968940734863,0.305663130000001,1.2200546264648438,1.1898529600000014,8.821487426757812e-06,8.86000000122067e-06,3.4332275390625e-05,3.44299999994746e-05,1.527199149131775,0.29511299077168945,0.2623873,0.21755363,0.01949443,0.5610798,0.70709455
4,0.00510204081632653,30519,112.754683904,11.8,9.51835904,22.50265061106644,0.432633638381958,0.41959813999999973,6.353949308395386,3.2706578210000012,0.011936187744140625,0.008206319999999323,0.6271638870239258,0.08641213000000025,0.4206216335296631,0.41131983000000005,5.726322174072266,3.1837973910000024,0.14813756942749023,0.1474887099999993,4.2309393882751465,1.727234200999999,0.27190303802490234,0.26326006000000035,1.491957664489746,1.4531130200000018,7.867813110351562e-06,7.950000000533919e-06,4.220008850097656e-05,4.238000000000852e-05,1.492104411125183,0.38638997243459716,0.30585048,0.3445215,0.016405135,0.44797924,0.7705605
5,0.006122448979591836,112951,112.929902592,11.8,9.8828416,23.364335242528615,0.48728466033935547,0.48512964000000025,6.841233968734741,3.7557874610000015,0.0005655288696289062,0.00011887999999871113,0.6277294158935547,0.08653100999999896,0.4866766929626465,0.48448946999999976,6.212998867034912,3.668286861000002,0.16884541511535645,0.16799129000000157,4.399784803390503,1.8952254910000006,0.31748032569885254,0.3161535800000017,1.8094379901885986,1.7692666000000035,8.344650268554688e-06,8.120000000388927e-06,5.054473876953125e-05,5.050000000039745e-05,1.409434199333191,0.4818148507777147,0.4001266,0.46722856,0.020236425,0.26896033,0.77960676
6,0.007142857142857143,108599,113.788903424,11.9,9.8828416,23.364335242528615,0.45154523849487305,0.44958216100000037,7.292779207229614,4.205369622000002,0.00011086463928222656,0.000128840000000352,0.6278402805328369,0.08665984999999932,0.45139193534851074,0.44941150100000016,6.664390802383423,4.117698362000002,0.15410327911376953,0.1533401199999993,4.5538880825042725,2.048565611,0.2964653968811035,0.2952345110000003,2.105903387069702,2.0645011110000038,7.62939453125e-06,7.730000000094606e-06,5.817413330078125e-05,5.8230000000492055e-05,1.3402608633041382,0.5308110148022949,0.41922286,0.53416806,0.009635526,0.26748124,0.8167735
7,0.00816326530612245,80695,113.484746752,11.8,9.8828416,23.364335242528615,0.5358889102935791,0.5104534899999997,7.828668117523193,4.715823112000002,0.052076101303100586,0.028744480000000294,0.6799163818359375,0.11540432999999961,0.4837334156036377,0.48163358000000045,7.1481242179870605,4.599331942000003,0.16441965103149414,0.16366597000000027,4.718307733535767,2.212231581,0.3187105655670166,0.3173555300000004,2.4246139526367188,2.381856641000004,8.106231689453125e-06,7.949999998757562e-06,6.628036499023438e-05,6.617999999924962e-05,1.288106083869934,0.5633527582955148,0.500135,0.5576643,0.008442961,0.15036131,0.8082707
8,0.009183673469387756,103479,113.2585984,11.8,9.8828416,23.364335242528615,0.4783318042755127,0.4535844099999995,8.306999921798706,5.169407522000001,0.0602262020111084,0.036817830000000384,0.7401425838470459,0.15222216,0.4180264472961426,0.41669233000000006,7.566150665283203,5.016024272000003,0.14949989318847656,0.14936027000000074,4.867807626724243,2.361591851000001,0.26796460151672363,0.26677688999999916,2.6925785541534424,2.6486335310000033,8.821487426757812e-06,8.86000000122067e-06,7.510185241699219e-05,7.504000000047029e-05,1.2146484851837158,0.6188368153115466,0.51039773,0.64881724,0.0069661303,0.15872447,0.8000271
9,0.01020408163265306,22839,113.253019648,11.8,9.8828416,23.364335242528615,0.47458744049072266,0.4723204199999991,8.781587362289429,5.641727942,0.0005810260772705078,0.00044668999999863956,0.7407236099243164,0.15266884999999863,0.47396135330200195,0.4716707700000011,8.040112018585205,5.487695042000004,0.16227078437805176,0.16134135999999977,5.030078411102295,2.5229332110000007,0.3113210201263428,0.30996632999999996,3.003899574279785,2.9585998610000033,8.58306884765625e-06,8.460000000098944e-06,8.368492126464844e-05,8.350000000056923e-05,1.1826136112213135,0.6583646084257742,0.5694421,0.6902208,0.0024371953,0.10726552,0.8042608
