,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,pred_num_pix,pred_sum_pix,true_num_pix,true_sum_pix,ke,true_ke
0,0,3,1.8000132243413427,True,1,1,[15],[0.85714287],194,44.510967,209,38.074520111083984,53.62767139113093,47.7240320081949
1,3,7,0.42421444001344266,True,0,1,[15 14],[0.675     0.0212766],72,21.599533,62,22.140228271484375,26.023533832596012,36.31029889143893
2,4,2,0.6708476902510648,True,0,1,[32  1],[8.7234044e-01 8.3682011e-04],134,35.59679,130,28.380970001220703,42.88769917315748,33.07641422208306
3,4,10,0.3000030517578125,True,1,1,[36  0],[8.5714287e-01 1.7114496e-04],113,26.235046,108,28.523155212402344,31.608489622552714,34.24502474992884
4,7,3,0.29998779296875,True,1,1,[16  4],[7.1739131e-01 2.4324981e-04],113,29.531572,124,37.12599182128906,35.5802076408662,46.18348711015913
5,7,4,0.4243007545635366,True,1,1,[22  0],[0.9325153  0.00183824],159,31.07823,156,38.06554412841797,37.4436504869576,44.95873590213849
6,8,4,0.29998779296875,True,1,1,[15],[0.8795181],74,18.933502,82,23.215585708618164,22.811448430440514,31.089982763284794
7,10,4,1.6431648866804862,True,0,1,[17],[0.6857143],84,20.121515,93,16.837121963500977,24.242789486804643,42.06196661523572
8,12,0,0.4242575950931961,True,1,1,[26  1],[0.8453608  0.00510204],87,21.802622,92,28.584693908691406,26.268219086061045,37.01627503901358
9,13,9,0.8485259795738118,True,1,1,[17  3],[0.02857143 0.02197802],15,3.3267307,-1,-1.0,4.008109311023391,-1.0
10,14,2,0.3000030517578125,True,1,1,[12],[0.8341014],193,36.846104,205,39.670494079589844,44.39289598579867,46.411969668384515
11,18,1,2.184040512229313,True,1,1,[13 12],[0.59183675 0.11976048],124,30.368397,110,23.016740798950195,36.588429830160486,31.712316999864036
12,18,5,0.4242575950931961,True,0,1,[22  3],[0.76623374 0.00088574],69,16.686224,67,19.060617446899414,20.103884317788737,21.010293636872586
13,20,8,112.38315835129116,False,0,1,[15],[0.8649789],223,53.68351,219,66.26873779296875,64.67892750200019,74.99894324822795
14,25,4,1.1224800882395087,True,1,1,[13],[0.7244898],79,28.734238,90,33.99079132080078,34.61956345891378,46.443493644160085
15,25,9,0.4243007545635366,True,1,1,[24 22],[0.7096774  0.00286533],155,35.72939,163,37.47243881225586,43.04745685623353,44.28109671844481
16,27,7,1.2728087510196755,True,0,1,[39 38],[0.82857144 0.06875   ],136,28.748158,120,24.695350646972656,34.63633433882013,32.142956524911384
17,31,6,0.4243007545635366,True,1,1,[47  1],[8.125000e-01 6.447453e-04],73,24.569239,72,29.95721435546875,29.601492364722564,39.00575629980101
18,31,7,0.4243007545635366,True,0,1,[46  2],[7.9569894e-01 5.0213409e-04],85,18.672768,82,15.04076099395752,22.497310408626696,18.182640045996198
19,33,5,0.29998779296875,True,1,1,[10  9],[0.79130435 0.00210748],107,25.62835,99,21.69426727294922,30.877529282167735,25.54861148274268
20,33,7,0.29998779296875,True,1,1,[31],[0.7755102],85,32.84417,89,32.94308090209961,39.57128869481834,35.479246559832
21,33,9,0.29998779296875,True,1,1,[33  2],[0.7708333  0.00082873],42,12.642363,43,12.35236644744873,15.231762162174089,25.032533409987025
22,34,7,0.4242575950931961,True,0,1,[24],[0.8],56,19.342264,61,24.01204490661621,23.303932741463903,30.99969552709623
23,35,6,0.424289965930668,True,1,1,[30  0],[8.6206895e-01 3.8255547e-04],107,32.800568,109,31.78506851196289,39.51875617705196,37.23150436773593
24,37,3,0.3000030517578125,True,0,1,[10  8],[8.4848487e-01 3.7202382e-04],180,37.123943,186,42.426971435546875,44.72764256488846,50.09176470158217
25,38,7,0.4242468053627785,True,0,1,[8],[0.8518519],102,23.472664,98,20.590343475341797,28.280317926981365,22.068783860379376
26,43,16,0.29998779296875,True,1,1,[39  3],[0.88554215 0.00205761],159,35.96871,154,41.01626968383789,43.33579741328596,44.96913890769664
27,44,7,0.5196205285183251,True,1,1,[29 56 28],[0.75842696 0.0754717  0.01219512],156,34.928055,157,35.9105224609375,42.08199374647026,39.1680974467889
28,46,0,0.3000030517578125,True,1,1,[40  0],[0.768      0.00241838],112,23.821575,109,23.20751190185547,28.70069296963244,35.517939211803665
29,48,5,1.08164676185443,True,1,1,[33  1],[8.4090906e-01 4.3572986e-04],118,26.821268,125,31.68135643005371,32.31478082128318,40.15747441724257
30,48,8,0.4242575950931961,True,1,1,[35],[0.8679245],49,8.270485,50,10.5424165725708,9.964439667851092,11.723858631524658
31,50,6,0.29998779296875,True,1,1,[29  2],[9.220779e-01 2.230898e-04],75,13.794368,73,15.803497314453125,16.619720229183336,20.22785996996573
32,51,7,0.2999267578125,True,0,1,[30  4],[0.8243243  0.00334262],137,31.12844,133,35.54789733886719,37.504145610763366,52.28392058474391
33,52,6,0.5196117185536361,True,1,1,[17  3],[0.8442623  0.00220913],224,40.13482,226,41.51423645019531,48.35520365152015,46.42195480741245
34,56,4,0.6708272171878565,True,1,1,[20],[0.88461536],72,16.527548,75,18.009302139282227,19.912708236510497,21.50996221798562
35,57,7,0.4242575950931961,True,1,1,[17  9],[0.6956522  0.00315457],71,19.812868,85,17.287504196166992,23.870925443718235,23.39605463510074
36,59,4,82.22848435997162,False,0,1,[7],[0.04195804],6,1.4743583,-1,-1.0,1.7763353255857905,-1.0
37,60,9,0.9949975598122411,True,0,1,[16 15],[0.8        0.01086957],83,25.441027,97,29.158618927001953,30.651839382677196,41.130467277623545
38,62,4,0.300018310546875,True,1,1,[17],[0.83870965],84,20.283632,87,27.002681732177734,24.438111178846246,39.849410764489924
39,63,4,0.4242036491853643,True,1,1,[26  2],[7.1153843e-01 6.7042100e-04],88,17.861492,90,18.01825523376465,21.51987006865352,25.756578299382287
40,70,10,0.4243007545635366,True,1,1,[33  0],[0.76978415 0.00152517],129,31.819733,117,26.87793731689453,38.33702730845256,34.651053807390774
41,70,11,0.29998779296875,True,1,1,[30 28],[0.8        0.00697674],137,32.50448,133,36.472442626953125,39.1620222344456,46.28440499561259
